CLASS_QNAME;OT_DNFOR
org.apache.commons.io.LineIterator;0.0
org.apache.commons.io.input.ObservableInputStream;1.0
org.apache.commons.io.comparator.AbstractFileComparator;0.0
org.apache.commons.io.input.ReaderInputStream;1.0
org.apache.commons.io.input.XmlStreamReaderException;0.0
org.apache.commons.io.FileCleaningTracker$Tracker;0.0
org.apache.commons.io.serialization.RegexpClassNameMatcher;0.0
org.apache.commons.io.EndianUtils;1.0
org.apache.commons.io.output.FileWriterWithEncoding;0.0
org.apache.commons.io.input.CloseShieldInputStream;0.0
org.apache.commons.io.filefilter.EmptyFileFilter;0.0
org.apache.commons.io.input.XmlStreamReader;0.0
org.apache.commons.io.filefilter.NotFileFilter;0.0
org.apache.commons.io.filefilter.TrueFileFilter;0.0
org.apache.commons.io.input.ReversedLinesFileReader$FilePart;1.0
org.apache.commons.io.input.ObservableInputStream$Observer;0.0
org.apache.commons.io.filefilter.AgeFileFilter;0.0
org.apache.commons.io.serialization.ValidatingObjectInputStream;0.0
org.apache.commons.io.CopyUtils;0.0
org.apache.commons.io.IOExceptionWithCause;0.0
org.apache.commons.io.DirectoryWalker;0.0
org.apache.commons.io.output.ByteArrayOutputStream;0.0
org.apache.commons.io.ByteOrderParser;0.0
org.apache.commons.io.HexDump;3.0
org.apache.commons.io.input.ProxyReader;0.0
org.apache.commons.io.comparator.ExtensionFileComparator;0.0
org.apache.commons.io.filefilter.DirectoryFileFilter;0.0
org.apache.commons.io.IOUtils;0.0
org.apache.commons.io.filefilter.SuffixFileFilter;1.0
org.apache.commons.io.output.ProxyWriter;0.0
org.apache.commons.io.input.NullInputStream;0.0
org.apache.commons.io.comparator.LastModifiedFileComparator;0.0
org.apache.commons.io.TaggedIOException;0.0
org.apache.commons.io.input.UnixLineEndingInputStream;0.0
org.apache.commons.io.FileCleaningTracker;0.0
org.apache.commons.io.filefilter.DelegateFileFilter;0.0
org.apache.commons.io.input.Tailer;1.0
org.apache.commons.io.filefilter.AndFileFilter;1.0
org.apache.commons.io.input.TeeInputStream;0.0
org.apache.commons.io.input.BoundedReader;1.0
org.apache.commons.io.input.WindowsLineEndingInputStream;0.0
org.apache.commons.io.output.ChunkedOutputStream;0.0
org.apache.commons.io.input.CharSequenceReader;1.0
org.apache.commons.io.input.MessageDigestCalculatingInputStream;0.0
org.apache.commons.io.comparator.DefaultFileComparator;0.0
org.apache.commons.io.filefilter.NameFileFilter;1.0
org.apache.commons.io.output.StringBuilderWriter;0.0
org.apache.commons.io.serialization.FullClassNameMatcher;0.0
org.apache.commons.io.output.TeeOutputStream;0.0
org.apache.commons.io.output.XmlStreamWriter;0.0
org.apache.commons.io.Charsets;0.0
org.apache.commons.io.output.CountingOutputStream;0.0
org.apache.commons.io.input.InfiniteCircularInputStream;0.0
org.apache.commons.io.output.DeferredFileOutputStream;0.0
org.apache.commons.io.comparator.CompositeFileComparator;1.0
org.apache.commons.io.output.ChunkedWriter;0.0
org.apache.commons.io.FileUtils;1.0
org.apache.commons.io.output.BrokenOutputStream;0.0
org.apache.commons.io.input.SwappedDataInputStream;0.0
org.apache.commons.io.output.TaggedOutputStream;0.0
org.apache.commons.io.comparator.SizeFileComparator;0.0
org.apache.commons.io.input.NullReader;0.0
org.apache.commons.io.filefilter.WildcardFilter;0.0
org.apache.commons.io.output.NullOutputStream;0.0
org.apache.commons.io.output.LockableFileWriter;0.0
org.apache.commons.io.filefilter.WildcardFileFilter;1.0
org.apache.commons.io.comparator.DirectoryFileComparator;0.0
org.apache.commons.io.output.WriterOutputStream;1.0
org.apache.commons.io.filefilter.MagicNumberFileFilter;0.0
org.apache.commons.io.input.BoundedInputStream;0.0
org.apache.commons.io.output.NullWriter;0.0
org.apache.commons.io.monitor.FileAlterationObserver;1.0
org.apache.commons.io.filefilter.FileFilterUtils;1.0
org.apache.commons.io.comparator.ReverseComparator;0.0
org.apache.commons.io.input.BOMInputStream;1.0
org.apache.commons.io.input.TaggedInputStream;0.0
org.apache.commons.io.filefilter.AbstractFileFilter;0.0
org.apache.commons.io.ByteOrderMark;1.0
org.apache.commons.io.filefilter.FileFileFilter;0.0
org.apache.commons.io.input.DemuxInputStream;0.0
org.apache.commons.io.output.ProxyOutputStream;0.0
org.apache.commons.io.filefilter.HiddenFileFilter;0.0
org.apache.commons.io.input.BrokenInputStream;0.0
org.apache.commons.io.FileExistsException;0.0
org.apache.commons.io.filefilter.FalseFileFilter;0.0
org.apache.commons.io.filefilter.CanReadFileFilter;0.0
org.apache.commons.io.output.DemuxOutputStream;0.0
org.apache.commons.io.FilenameUtils;2.0
org.apache.commons.io.monitor.FileEntry;0.0
org.apache.commons.io.DirectoryWalker$CancelException;0.0
org.apache.commons.io.FileDeleteStrategy;0.0
org.apache.commons.io.FileSystemUtils;1.0
org.apache.commons.io.output.AppendableOutputStream;0.0
org.apache.commons.io.comparator.PathFileComparator;0.0
org.apache.commons.io.filefilter.SizeFileFilter;0.0
org.apache.commons.io.input.ReversedLinesFileReader;1.0
org.apache.commons.io.monitor.FileAlterationListenerAdaptor;0.0
org.apache.commons.io.filefilter.OrFileFilter;1.0
org.apache.commons.io.input.MessageDigestCalculatingInputStream$MessageDigestMaintainingObserver;0.0
org.apache.commons.io.input.TailerListenerAdapter;0.0
org.apache.commons.io.filefilter.RegexFileFilter;0.0
org.apache.commons.io.output.CloseShieldOutputStream;0.0
org.apache.commons.io.output.ClosedOutputStream;0.0
org.apache.commons.io.input.ClosedInputStream;0.0
org.apache.commons.io.input.CountingInputStream;0.0
org.apache.commons.io.monitor.FileAlterationMonitor;0.0
org.apache.commons.io.ThreadMonitor;0.0
org.apache.commons.io.serialization.WildcardClassNameMatcher;0.0
org.apache.commons.io.FileCleaner;0.0
org.apache.commons.io.input.CharSequenceInputStream;1.0
org.apache.commons.io.filefilter.PrefixFileFilter;1.0
org.apache.commons.io.comparator.NameFileComparator;0.0
org.apache.commons.io.FileCleaningTracker$Reaper;0.0
org.apache.commons.io.FileDeleteStrategy$ForceFileDeleteStrategy;0.0
org.apache.commons.io.input.AutoCloseInputStream;0.0
org.apache.commons.io.input.ProxyInputStream;0.0
org.apache.commons.io.output.ThresholdingOutputStream;0.0
org.apache.commons.io.input.ClassLoaderObjectInputStream;1.0
org.apache.commons.io.filefilter.CanWriteFileFilter;0.0